lyrics,singer,song
"Shawty go jogging every morning (Every morning)
And she make me breakfast almost every morning (Every morning)
And she take a naked pic before she leave the door
I be waking up to pics before a nigga yawning
And every weekend my shawty comin' over (Over)
Shawty could Fendi out but she like Fashion Nova (Nova)
She ain't driving no Camry she pullin' in a Rover (Rover)
With her hair so curly, I love you, baby

She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (Oh)
Walk up in the store and get what you want (Go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (Love you, baby)
'Cause I like what I see

Look, baby, I said I ain't gon' front
You got my heart beating so fast to words I can't pronounce
And I be getting the chills every time I feel your touch
I be looking at the top and girl, it's only us
All I need is your trust
And girl I told you once, don't make me tell you twice
I know you see this print through my pants that I know you like
And yo ass be looking so fat when it be in them tights
And I'm going straight to the top, so hope you ain't afraid of heights
You always keep me right, for a fact, you never left
Through all the trials and tribulations, always had my best
So here's fifty-five hunnid, go and get your breasts
Start rubbin' on your butt, start kissing on yo neck
Hey batter, batter, hey batter, batter
Niggas know I had to swing, I had to make a play
I had to apply the pressure, 'cause you my hidden treasure
I think I'm falling in love

She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (Oh)
Walk up in the store and get what you want (Go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (Love you, baby)
'Cause I like what I see",abrahamblue,Still Feel
"Ooh, ooh, ooh, ooh

I'm always ready for a war again
Go down that road again
It's all the same
I'm always ready to take a life again
You know I'll ride again
It's all the same (Ooh, ooh, ooh)
Tell me who's gon' save me from myself
When this life is all I know
Tell me who's gon' save me from this hell
Without you, I'm all alone

Who gon' pray for me?
Take my pain for me?
Save my soul for me?
'Cause I'm alone, you see
If I'm gon' die for you
If I'm gon' kill for you
Then I spilled this blood for you, hey

I fight the world, I fight you, I fight myself
I fight God, just tell me how many burdens left
I fight pain and hurricanes, today I wept
I'm tryna fight back tears, flood on my doorsteps
Life a livin' hell, puddles of blood in the streets
Shooters on top of the building, government aid ain't relief
Earthquake, the body dropped, the ground breaks
The poor run with smoke lungs and Scarface
Who need a hero? (Hero)
You need a hero, look in the mirror, there go your hero
Who on the front lines at ground zero? (Hero)
My heart don't skip a beat, even when hard times bumps the needle
Mass destruction and mass corruption
The souls of sufferin' men
Clutchin' on deaf ears again, rapture is comin'
It's all prophecy and if I gotta be sacrificed for the greater good
Then that's what it gotta be

Who gon' pray for me?
Take my pain for me?
Save my soul for me?
'Cause I'm alone, you see
If I'm gon' die for you
If I'm gon' kill for you
Then I spilled this blood for you, hey

Hey, hey, hey, hey
Hey, hey, hey, hey

Who gon' pray for me?
Take my pain for me?
Save my soul for me?
'Cause I'm alone, you see
If I'm gon' die for you
If I'm gon' kill for you
Then I spilled this blood for you, hey

Just in case my faith go, I'll live by my own law
I'll live by my own law, I'll live by my own
Just in case my faith go, I'll live by my own law
I'll live by my own law, I'll live by my own",UMI,Remember Me
"[Adam Levine:]
My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-oh-oh-te.
Make me your radio
Turn me up when you feel low
This melody was meant for you
Just sing along to my stereo

[Travie McCoy:]
Gym class heroes baby!
If I was just another dusty record on the shelf
Would you blow me off and play me like everybody else?
If I asked you to scratch my back, could you manage that?
Like it read well, check it Travie, I can handle that
Furthermore, I apologize for any skipping tracks
It's just the last girl that played me left a couple cracks
I used to used to used to used to, now I'm over that
Cause holding grudges over love is ancient artifacts

If I could only find a note to make you understand
I'd sing it softly in your ear and grab you by the hand
Just keep it stuck inside your head, like your favorite tune
And know my heart's a stereo that only plays for you

[Chorus:]
My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-oh-oh-te
Make me your radio
Turn me up when you feel low
This melody was meant for you
Just sing along to my stereo

Oh oh oh oh, oh oh oh oh to my stereo
Oh oh oh oh to sing along to my stereo

[Travie McCoy:]
Let's go!
If I was an old-school fifty pound boombox
Would you hold me on your shoulder, wherever you walk
Would you turn my volume up in front of the cops
And crank it higher everytime they told you to stop
And all I ask is that you don't get mad at me
When you have to purchase mad D batteries
Appreciate every mixtape your friends make
You never know we come and go like on the interstate

I think I finally found a note to make you understand
If you can hear it, sing along and take me by the hand
Just keep me stuck inside your head, like your favorite tune
You know my heart's a stereo that only plays for you

[Chorus:]
My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-oh-oh-te
Make me your radio
Turn me up when you feel low
This melody was meant for you
Just sing along to my stereo

Oh oh oh oh, oh oh oh oh to my stereo
Oh oh oh oh to sing along to my stereo

[Bridge:]
I only pray you'll never leave me behind (never leave me)
Because good music can be so hard to find (so hard to find)
I take your hand and hold it closer to mine
Thought love was dead, but now you're changing my mind

[Chorus:]
My heart's a stereo
It beats for you, so listen close
Hear my thoughts in every no-oh-oh-te
Make me your radio
Turn me up when you feel low
This melody was meant for you
Just sing along to my stereo

Oh oh oh oh, oh oh oh oh to my stereo
Oh oh oh oh (Gym Class Heroes baby!) to sing along to my stereo

Yeah ",Major Lazer,"Lean On (Feat. MO, DJ Snake)"
"Jump in that— (Hah, Hah),
summon that bitch
Jump in that— (Hah, hah),
jump in that fire (Hah), jump in that bitch
Hittin' that fire, jump in that whip,
thumbin' that bitch
Cum in that bitch (Ho),
drummin' that— (Hah, hah)
Drummin' that bitch (Yeah)
Choppa doin' circles, it's a Bird, Bird
Take him to the party, he's a nerd (Pop out)
I see niggas hit corners
in the motherfuckin' 'burbs, huh (Pop out)
Done politickin' with the competition,
what's the word? (Yeah)
Put that on my mama, nigga,
eight in the process
Niggas tryna tippy-toe through the progress
Tongue-tied when the truth is an object
What's the pros
and the cons of this next check?
Wasn't nobody 'round, I was independent
In the '90s, sittin' bum
with the windows tinted
Heard a bum got a strap in the party
Who the fuck let this **** in the party?
Beat 'em up, beat 'em up,
beat 'em up, beat 'em up (Ah)
I was seein' double in the projects
Mad at myself when I put it to the side
Mama had to cater for the coupe
That we rode after school
on the way to Popeyes
And niggas wanna play both sides
It's a red dot, don't get
on the wrong red eye
It's a headshot, Damien Kane, Woo
Them guys
Fuck around and bury two of them guys
I'm OD in Paris, I'm OD in France
I thought that I told you, I need the advance
Put down your IG and look through my lens
A million to grandma, who did I offend?
The girl of your dreams to me is a fan
I netted ten million and did a lil' dance
I'm fuckin' the world, I unzip my pants
My uncle G told me that I had a chance
So then I popped out and did it again
And did it again and did it again
I can not respect them, where did he begin?
Advice from the council, let nobody in
Been swervin' through rumors
Avoidin' the trends and duckin' the hoes
I'm duckin' the loonies that come
with the shows
I'm grateful to Man-Man,
he opened up doors
A bunk on the tour bus to come
and compose
I reach to the stars on my tippy toes
This greatest success
where most niggas fold
I tell you my past, that shit don't get old
But how could you ask like
I don't be writin' my raps?
These critics got everyone tapped
You gotta relax, the city where nobody sleep
Just tap in and ask where I'm at, ho
Smokin' on your top five tonight, tonight
Yeah, I'm smokin' on your,
what's his name, tonight, tonight
Smokin' on you, shores,
ain't two-nine, yeah, two
I am the omega, pgLang, Rollie gang, SIE
Don't you address me unless it's
with four letters
I thought you'd known better
I been duckin' the pandemic,
I been—, social gimmicks
I been duckin' the overnight activists, yeah
I'm not a trending topic, I'm a—
Hold on, y'all niggas playin' with me, man
I am the omega, pgLang, Rollie gang, SIE
Don't you address me unless it's
with four letters
Bitch, I thought you'd known better
I been duckin' the pandemic,
I been duckin' the social gimmicks
I been duckin' the overnight activists, yeah
I'm not a trending topic, I'm a prophet
I answer to Metatron and Gabriel
Bitch, looking for a better me
I am a legacy, I come from the seventy
The Al Green offspring,
guns and the melody
The big shot, wrist on cryotherapy
Soon as I press that button
Nigga better get right
like the ambulance comin'
Us two on a light,
Keem been through nothin'
Dave Free got at least one B in the oven
I'm trippin', I'm juugin',
my mental is amazing, brother
Pop off, only on occasions, brother
Rich nigga, momma know I made it, brother
Go figure, never caught cases, brother
Face it, brother, gracious brother
New flows comin', be patient, brother
Show my ass and take y'all to class
I can multitask like Megan, brother
2021, I ain't takin' no prisoner
Last year, y'all fucked up all the listener
Who went platinum? I call that a visitor
Who the fuck backin' 'em? All been falsified
The facts mean this a vaccine
and the game need me to survive
The Elohim, the rebirth
Before you get to the Father,
you gotta holla at me first, bitch
Smokin' on top fives
Motherfuck that album, fuck that single
Burn that hard drive (Burn that shit)
Ain't nobody safe
When I come up killin'
everybody that's outside (Who you with?)
Yeah, Kanye changed his life
But me, I'm still an old-school Gemini
(Lil' bitch)
Let me jump in this bitch
Let me jump in this bitch
Two phones,
but I only bring one in this bitch
One daughter, but they
all my sons in this bitch
No hoes, ain't shit gettin' done in this bitch
I'm scary, I got a gun in this bitch
Smokin' on top fives, stop playin',
I'm that guy
Number two DM'ing my bitch
That's cool, I don't ask why",Alan Walker,Faded
"My career 'bout to blast like bubbly
I'm not waitin' for her to say she love me
I can tell she'll fuck with me, man, trust me
I got a ten year old mink, still ain't fuzzy
Three-twenty-five on the dashboard
Ridin' in the Porsche, rockin' Tom Ford
I ball at Barneys, new Christian Dior
I took the jet to the New York store
She lick while I'm drivin', I'm stainin' the floor
I took it off track, now I'm ridin' in sport (yeah)
You stay in your feelings, you never my boy
I can't come to the hood, I pull a decoy
Another body drop, and they screamin' my name
I'm goin' to L.A. on a private plane
Could never come back and my family straight (grrah)
Untouchable, know I'm too rich or too paid
Skeleton Cartier, black diamonds spade
Pull up too deep like a fuckin' parade
Old jealous-ass niggas try and fuck up my pay (ha)
Blast off, Rolls-Royce Cullinan rain (broke niggas)
I put baguettes in my wrist and my neck and my ears and my motherfuckin' chains (chains)
This drip out the trenches, I know you gon' dig it, I come through this motherfucker plain (whoa)
I cut up my wrist, soakin' wet (yeah)
And Coachella keep callin', they wan' see the fame
I took her to China and changed up her climate and now she ain't talkin' the same (whoa, yeah)
Five nights up, still poppin' and ragin'
In the SVR, still livin' deranged (yeah)
I want her, she wanted the same
And them both, same time, both glad that they came (it's lit)
Keep me a vibe, but can't keep it contained
Know I keep me some dawgs, always keep 'em in training (oh)
Tat' a logo on the back of my brain
Don't ask me what the fuck am I thinkin'
Back of these walls, I'm full of that drank
Eric came through with a little entertainment (it's lit)
Air 29, got her lookin' like space
Houston it's a problem when we bust in her face and shit
I came with the snakes, no squids (straight up)
I broke out the game with a 456
She lovin' the fest', I see it
She lovin' the fest' (straight up, straight up)
Yeah, I see it on her face, and I'm lovin' that body
And lacin', I love you, lil' Spider and Drake
Yeah, I know you got taste, if you love you some, take shots with me
If I love you, I'll drop you a pin to a time and a place (wait)
YSL'll put a nigga six feet
I ain't beggin' when I tell a bitch, Please
Me and lil' Thugger on fleek
Now the lil' ho wanna meet, ayy
What, what, what, what
Fuck her on beat
OVO life not cheap
All a my young boys too T'd
Wire just hit my account, never seen that amount, oh God, I'm geeked
Been on the charts for five hundred weeks, so somebody love when I speak
Doin' this shit just to show we get down in the Six, man, it's bigger than me
Texas ranch so big, that shit is perfect for the dippin'
I don't care how wet I get her, she won't catch me
Three-twenty-five on the dashboard
Ride in the Porsche, rockin' Tom Ford
Rockin' her bed and the headboard
What, what, what, what
Buyin' out Louis and Christian Dior
I took the jet to the New York store
Park at the regular airport
You stay in your feelings, was never my boy","Alan Walker, Sabrina Carpenter, Farruko",On My Way
"We the Best Music! Another one! DJ Khaled! You stick out of the crowd, baby, it's a no-brainer It ain't that hard to choose Him or me, be for real, baby, it's a no-brainer You got your mind unloose Go hard and watch the sun rise One night'll change your whole life Off top, drop-top, baby it's a no-brainer Put 'em up if you with me Yeah, yeah-eah, yeah, yeah-eah-eah In the middle, woah Woah-woah-oah, oh, oh-oh, ooh Put 'em high Put 'em high Yeah-eah-eah, yeah, yeah-eah-eah Both arms, yeah Woah-woah-oah, oh, oh-oh, ooh Put 'em high Quavo! Mama told you don't talk to strangers (mama, mama, mama!) But when you're ridin' in the drop, you can't explain it (skrrt, skrrt, skrrt-skrrt) What you been waitin' on this whole time? (Yeah) I blow the brains outta your mind (ooh) And I ain't talkin' 'bout physically (no) I'm talkin' 'bout mentally (talkin' 'bout mentally) She lookin', she look like she nasty (she lookin') She lookin', she look like she classy (she lookin') She lookin', just look at her dancin' (look at her) She lookin', I took her to the mansion (yeah, yeah) You stick out of the crowd, baby, it's a no-brainer It ain't that hard to choose Him or me, be for real, baby, it's a no-brainer You got your mind unloose Go hard and watch the sun rise One night'll change your whole life Off top, drop-top, baby it's a no-brainer Put 'em up if you with me Yeah, yeah-eah, yeah, yeah-eah-eah In the middle, woah Woah-woah-oah, oh, oh-oh, ooh Put 'em high Put 'em high Yeah-eah-eah, yeah, yeah-eah-eah Both arms, yeah Woah-woah-oah, oh, oh-oh, ooh Put 'em high Don't look rich, I ain't got no chain (huh) Not on the list, I ain't got no name But we in this bitch, bitch, I'm not no lame And I keep it Ben Franklin, I'm not gon' change Lot of these hoes is messy (messy) I just want you and your bestie Y'all don't gotta answer for whenever you text me It's multiple choice and they all wanna test me She ch-ch-ch-ch-choosin' the squad She tryna choose between me, Justin, Qua' and Asahd She told me that she love that I make music for God I told her I would love to see that ***** applaud You stick out of the crowd, baby, it's a no-brainer It ain't that hard to choose Him or me, be for real, baby, it's a no-brainer You got your mind unloose Go hard and watch the sun rise One night'll change your whole life Off top, drop-top, baby it's a no-brainer Put 'em up if you with me Yeah, yeah-eah, yeah, yeah-eah-eah In the middle, woah Woah-woah-oah, oh, oh-oh, ooh Put 'em high Put 'em high Yeah-eah-eah, yeah, yeah-eah-eah Both arms, yeah Woah-woah-oah, oh, oh-oh, ooh Put 'em high Walked down, had me sittin' up Demanded my attention, had to give it up Look like somebody designed you Drop-dead gorgeous, you make me wanna live it up Your presence is critical Movin' my soul, yeah you're spiritual They hate it when you notice me Like everybody else invisible (ooh) Breakin' all the rules (oh-oh) So above the law (so above the law) I'll be your excuse (damn right) Uh, and you won't go wrong, no You stick out of the crowd, baby, it's a no-brainer (no-brainer) It ain't that hard to choose Him or me, be for real, baby, it's a no-brainer (no-brainer) You got your mind unloose Go hard and watch the sun rise (rise) One night'll change your whole life Off top, drop-top, baby it's a no-brainer (oh, no) Put 'em up if you with me Yeah, yeah-eah, yeah, yeah-eah-eah In the middle, oh (yeah, in the middle) Woah-woah-oah, oh, oh-oh, ooh Put 'em high (put 'em high) Put 'em high Yeah-eah-eah, yeah, yeah-eah-eah Both arms, yeah (both sides in here) Woah-woah-oah, oh, oh-oh, ooh Put 'em high (put 'em high) It's We The Best Music Way high It's Father of Asahd Another one","Martin Garrix, Troye Sivan",There for You
"Oh oh oh oh

Oh oh oh oh

Oh oh oh oh oh oh oh oh...

We couldn't turn around

'Til we were upside down

I'll be the bad guy now

But no I ain't too proud

I couldn't be there

Even when I try

You don't believe it

We do this every time

Seasons change

and our love went cold

Feed the flame

'cause we can't let it go

Run away

but we're running in circles

Run away run away

I dare you to do something

I'm waiting on you again

so I don't take the blame

Run away

but we're running in circles

Run away run away run away

Let go

I got a feeling

that it's time to let it go

I say so

I knew that this was doomed

from the get go

You thought

that it was special special

But it was just the sex though

the sex though

And I still hear the echoes

The echoes

I got a feeling

that it's time to let it go let

it go

Seasons change

and our love went cold

Feed the flame

'cause we can't let it go

Run away

but we're running in circles

Run away run away

I dare you to do something

I'm waiting on you again

so I don't take the blame

Run away

but we're running in circles

Run away run away run away

Maybe you don't understand

what I'm going through

It's only me

what you got to lose

Make up your mind tell me

what are you gonna do

It's only me let it go

Seasons change

and our love went cold

Feed the flame

'cause we can't let it go

Run away

but we're running in circles

Run away run away

I dare you to do something

I'm waiting on you again

so I don't take the blame

Run away

but we're running in circles

Run away run away run away",Alan Walker,"All Falls Down (Feat. Juliander, Noah Cyrus, Digital Farm Animals)"
"She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down
She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down

I don't know you, like
I want to so I
Might call you tonight
If I do pick up
I got some gin in me
A hundred bands on me
I'm feelin' myself, yeah
I might say too much

She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down
She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down

I don't know you but I know that you're special
Fuck a verse, fuck a hook, I'll use the whole instrumental
Just to reiterate the commitment I have to explore
Like would you ride it like a horse, like my last name is Lauren
I'm more than interested
Baby, I'm infatuated
You been held back
I'll get you to graduation
Help you with your cash
Steer you clear of tax evasion
Death grips on your ass
I call that assassination
I'm getting carried away
Let's get married today
Fuck
Here I go again like Whitesnake back in the day
I'm crazy and you're crazy too
But I love that shit
You're bad and you're broken too
But I love that shit
Just be open to the possibility of me and you
That's all I ask, I've had the hoes, I've got the cash, now I want you
Just be open to the possibility of me and you
That's all I ask, I've had the hoes, I've got the cash

She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down
She got me goin' psycho
She got me going down, down, down
Got me living on a tightrope
She got me going down, down, down

She got me goin' psycho",Alan Walker,Alone
"[Chorus: Post Malone]
Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though

[Verse 1: Post Malone]
You stuck in the friend zone, I tell that four-five the fifth, ayy
Hunnid bands inside my shorts, DeChino the shit, ayy
Try to stuff it all in, but it don't even fit, ayy
Know that I been with the shits ever since a jit, ayy
I made my first million, I'm like, ""Shit, this is it,"" ayy
30 for a walkthrough, man, we had that bitch lit, ayy
Had so many bottles, gave ugly girl a sip
Out the window of the Benzo, we get seen in the rent'
And I'm like ""Whoa, man, my neck so goddamn cold”
Diamonds wet, my t-shirt soaked
I got homies, let it go, oh
My money thick, won't ever fold
She said, ""Can I have some to hold?""
And I can't ever tell you no


 
 
[Chorus: Post Malone]
Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though

[Verse 2: Ty Dolla $ign]
The AP goin' psycho, my Rollie goin' brazy
I'm hittin' lil' mama, she wanna have my babies
It's fifty on the pinky, chain so stanky
You should see the whip, promise I can take yo' bitch
Dolla ridin' in an old school Chevy, it's a drop top
Boolin' with a thot-thot, she gon' give me top-top
Just one switch, I can make the ass drop (hey)
Uh, take you to the smoke shop
We gon' get high, ayy, we gon' hit Rodeo
Dial up Valentino, we gon' hit Pico
Take you where I'm from, take you to the slums
This ain't happen overnight, no, these diamonds real bright
Saint Laurent jeans, still in my Vans though
All VVS', put you in a necklace
Girl, you look beautiful tonight
Stars on the roof, they matching with the jewelry


 
 
[Chorus: Post Malone]
Damn, my AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Come with the Tony Romo for clowns and all the bozos
My AP goin' psycho, lil' mama bad like Michael
Can't really trust nobody with all this jewelry on you
My roof look like a no-show, got diamonds by the boatload
Don't act like you my friend when I'm rollin' through my ends, though",HONNE,Warm On A Cold Night
"Music make you lose control, music make you lose control
Let's go! Hey, hey, hey, hey, hey, hey
Here we go now, here we go now, here we go now, here we go now
(Music make you lose control)
Misdemeanor's in the house
Ciara's in the house
Misdemeanor's in the house
Fatman Scoop-man Scoop-man Scoop..

I got a cute face, chubby waist
Thick legs, in shape
Rump shakin, both ways
Make you do a double take
Planet rocker, show stopper
Flow proper, head knocker
Beat scholar, tail dropper
Do my thang, motherfucker
My Rolls Royce, Lamborghini
Blue Madina, always beamin
Rag top, chrome pipes
Blue lights, outta sight
(Long weave) sewed in
(Say it again) sewed in
Make that money, throw it in
Booty bouncin, gone head

Everybody here - get it out of control
Get your backs off the wall, cause Misdemeanor said so
Everybody (Just throw your hands in the air!)
Everybody (Just throw your hands in the air!)
Everybody (Just throw your hands in the air!)
Everybody (Just throw your hands in the air, let's go)

[Breakdown 1: Ciara, Missy (Fatman Scoop)]
Well my name is Ciara, for all you fly fellas
No one, can do it better (She'll sing on acapella)
Boy the music makes me lose control (Now bring it back now!)
We gon' make you lose control (1-2-3, let's go)
And let it go, 'fore you know, you gon' hit the flo'

I rock to the beat till I'm (Tired)
I walk in the club it's (Fire)
Get it crunk and wired
Wave your hands scream (Louder)
If you smoke then fire it up
Bring the roof down and (Holla)
If you tipsy stand up
DJ turn it (Louder)
Take somebody by the waist and uhh!
Now throw it in they face like uhh!
Hypnotic robotic, this here will rock yo' bodies
Take somebody by the waist and uhh!
Now throw it in they face like uhh!
Systematic ecstatic THIS HIT BE AUTOMATIC

Work me, work, work (Work dat, work dat)
Work me, work, work (Work dat, work dat)
Work me, work, work (Work dat, work dat)
Work me, do it right
Hit the floor, hit the floor (Yes)
Hit the floor, hit the floor (Work)
Hit the floor, hit the floor
Hit the floor (Whooo)

Everybody here - get it out of control
Get your backs off the wall, cause Misdemeanor said so
Everybody (Just throw your hands in the air!)
Everybody (Just throw your hands in the air!)
Everybody (Just throw your hands in the air!)
Everybody (Just throw your hands in the air, let's go)

Everybody here - get it out of control
Get your backs off the wall, cause Misdemeanor said so
Everybody (Get your back off the wall Step, step)
Everybody (Get your back off the wall Keep on steppin)
Everybody (Get your back off the wall Step, step)
Everybody, get loose (Get your back off the wall)

Now put your back, on the wall, put your back, on the wall
Put your back, on the wall, put your back, on the wall
Misdemeanor's in the house
Yeah, Ciara's in the house
Misdemeanor's in the house, ""Music make you lose control""
We on fire, we on fire, we on fire, we on fire
Now throw it girl, throw it girl, throw it girl, yeah
Now move your arms to the left girl
Now move your arms to the left girl
Now move your arms to the right girl
Now move your arms to the right girl
Let's go now, let's go now, let's go now, WHOO! Let's go
Should I bring it back right now?
Now bring it back down!
WHOO! Oh, I see you Ci
Now see, I'mma I'mma do it like Ci do it
Now shake it girl, c'mon and just shake it girl
C'mon and let it pop right girl, c'mon and let it pop right girl
Now, now, back it up girl, back it up girl
Back it up girl, back it up girl
WHOO! WHOO! WHOO! Yo, yo
Bring it to the front girl, yo, yo
Bring it to the front girl, yo, yo
Bring it to the front girl, yo, yo
Bring it to the front girl, let's go, let's go","Alan Walker, K-391, Emelie Hollow",Lily
"[Hook: Sage the Gemini]
I know what you came here to see
If youre a freak, then ya coming home with me
And I know what you came here to do
Now bust it open let me see you get low
Its going down for real
Its going down for real
Its going down for real

[Verse 1: Flo Rida]
Your girl just kissed a girl
I do bi chicks
Shake for a shake
Im throwing these Emirates in the sky
Spinning this As-salamu alaykum
Peace to M.O.N.E.Y
I love my beaches, south beaches
Surfboard and high tide
I could just roll up
Cause Im swoll up
So that birthday cake get a cobra
Buggati for real, Im cold bruh
That auto-biography rover
Got the key to my city its over
Its no thots, only Anna Kournikovas
I said rackets, ratchets hold up
(I said rackets, ratchets hold up)

[Hook]

[Verse 2: Sage the Gemini]
And they already know me
Its going down further than femurs
Girls get wetter than Katrina
Yeah my girl you never seen her
Cause my tints by limousines
My touch is the Midas
We de-plus your man to minus
My team blowing on that slam
Make you cough-cough thats Bronchitis
Put your hands up
Its a stick up, no more makeup
Get that ass on the floor
Ladies put your lipstick up
Double entendre, double entendre
While youre hating I get money
Then I double up tonkers

[Hook]

[Bridge: Flo Rida]
Lift it, drop it, shake it, pop it
Lift it, drop it, shake it, pop it
Lift it, drop it, shake it

[Outro: Sage the Gemini]
Its going down for real
Its going down for real
Its going down for real
Its going down for real
Its going down for real",Mike Perry,The Ocean (Feat. SHY Martin)
"'Mello made it right
I been through too much
just to live like this
Double up my cup, you can't sip like this
I fill my pockets 'til they stuffed
so they fit like this
Now she know I'm up 'cause I drip like this
Now I won't give a fuck, let it rip like this
Hop up in my truck and I whip like this
And now they know
I'm up 'cause my wrist like this
No, I can't get enough
'cause I'm sick like this, yeah
I been through too much
just to live like this
I been through too much
just to live like this
I fill my pockets 'til they stuffed
so they fit like this
I been through too much
just to live like this
Copped anothеr Rollie,
but it ain't a Plain Jane
Niggas call the policе,
but be scrеamin', ""Gang, gang""
Boy, stop actin' like you know me
when you know you can't hang
That's my brothеr, not my homie, nah,
that ain't the same thing
And for Busta, I'm gon' ride,
'cause we feel the same pain
Like no other, do or die,
even when the days rain
From the gutta, that's no lie,
we on the same page
From the bottom,
now we ballin' like Dwayne Wade
I been through too much
just to live like this
Double up my cup, you can't sip like this
I fill my pockets 'til they stuffed
so they fit like this
Now she know I'm up 'cause I drip like this
I been through too much
just to live like this
I been through too much
just to live like this
I fill my pockets 'til they stuffed
so they fit like this
I been through too much
just to live like this (Like this)
Phone ring, I decline it,
I don't know why they whinin'
I ain't ask them to chime in,
real niggas move in silence
Amiri jeans and Balenciagas
Always believed in our dreams,
now we got them dollars
If you ain't pleased, baby,
please, tell me what's the problem
Yeah, I'm a fiend for the cream
like a Baskin-Robbin
Now, just don't leave me in the street
'cause I'll go back to robbin'
This for the team, ain't have a thing
and now we got it poppin'
I been through too much
just to live like this
Double up my cup, you can't sip like this
I fill my pockets 'til they stuffed
so they fit like this
Now she know I'm up 'cause I drip like this
Now I won't give a fuck, let it rip like this
Hop up in my truck and I whip like this
And now they know I'm up
'cause my wrist like this
No, I can't get enough
'cause I'm sick like this, yeah
I been through too much
just to live like this
I been through too much
just to live like this
I fill my pockets 'til they stuffed
so they fit like this
I been through too much
just to live like this (Like this)
Like this, like this
Like this, like this
Like this, like this
Ooh, no, yeah",HONNE,3am
"""Sunflower""

(from ""Spider-Man: Into The Spider-Verse"" soundtrack)

[Swae Lee:]

Ayy, ayy, ayy, ayy (ooh)

Ooh, ooh, ooh, ohh (ooh)

Ayy, ayy

Ooh, ooh, ooh, ohh

Needless to say, I keep in check

She was a bad-bad, nevertheless (yeah)

Callin' it quits now, baby, I'm a wreck (wreck)

Crash at my place, baby, you're a wreck (wreck)

Needless to say, I'm keepin' in check

She was a bad-bad, nevertheless

Callin' it quits now, baby, I'm a wreck

Crash at my place, baby, you're a wreck

Thinkin' in a bad way, losin' your grip

Screamin' at my face, baby, don't trip

Someone took a big L, don't know how that felt

Lookin' at you sideways, party on tilt

Ooh-ooh

Some things you just can't refuse

She wanna ride me like a cruise

And I'm not tryna lose

Then you're left in the dust

Unless I stuck by ya

You're a sunflower

I think your love would be too much

Or you'll be left in the dust

Unless I stuck by ya

You're the sunflower

You're the sunflower

[Post Malone:]

Every time I'm leavin' on you

You don't make it easy, no, no

Wish I could be there for you

Give me a reason to go

Every time I'm walkin' out

I can hear you tellin' me to turn around

Fightin' for my trust and you won't back down

Even if we gotta risk it all right now, oh

I know you're scared of the unknown (-known)

You don't wanna be alone (alone)

I know I always come and go (and go)

But it's out of my control

And you'll be left in the dust

Unless I stuck by ya

You're the sunflower

I think your love would be too much

Or you'll be left in the dust

Unless I stuck by ya

You're the sunflower

You're the sunflower

Yeah",Galantis,San Francisco (Feat. Sofia Carson)
